时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-08-27,7866.0,7910.0,7802.0,7854.0,64351,78827,7761.2,7808.8,7975.6,8322.733333333334,-154.71467700844096,-153.39484807303168,-1.3198289354092765,38.77995642701525,147.57142857142858,-28.91959189972497,65738.4,-896330,68017.0,-1128.0,-1.410793571383906
2024-08-28,7846.0,7846.0,7726.0,7750.0,74597,85349,7755.2,7783.6,7947.1,8311.233333333334,-151.8393762007936,-153.08375369858408,1.244377497790481,35.67134268537073,148.28571428571428,-44.12492816521457,66846.4,-970927,68729.6,6522.0,8.27381480964644
2024-08-29,7714.0,7770.0,7690.0,7740.0,66809,87032,7772.0,7767.0,7915.2,8299.566666666668,-148.65400518396655,-152.1978039956606,3.543798811694046,37.39495798319328,142.28571428571428,-51.491356661161625,67742.2,-1037736,69549.3,1683.0,1.9719035958241982
2024-08-30,7742.0,7800.0,7720.0,7736.0,69125,86483,7782.8,7749.6,7886.9,8287.833333333334,-144.78336971284625,-150.71491713909774,5.931547426251484,31.350114416475975,140.0,-44.37756258539545,69317.8,-1106861,70467.3,-549.0,-0.6308024634617104
2024-09-02,7730.0,7738.0,7380.0,7384.0,145436,112505,7692.8,7715.0,7849.3,8269.233333333334,-168.18063970313233,-154.20806165190464,-13.972578051227686,20.930232558139537,159.71428571428572,-108.88556161198481,73614.1,-1252297,72491.75,26022.0,30.08915046887828
2024-09-03,7388.0,7470.0,7360.0,7424.0,87060,107521,7606.8,7684.0,7817.2,8249.966666666667,-181.40436246243735,-159.64732181401118,-21.75704064842617,25.129087779690195,159.85714285714286,-111.956441555898,75451.2,-1165237,74482.6,-4984.0,-4.430025332207455
2024-09-04,7350.0,7386.0,7202.0,7304.0,122049,108660,7517.6,7636.4,7779.4,8228.366666666667,-199.27019240249228,-167.5718959317074,-31.698296470784896,24.620573355817882,151.0,-117.25149823182603,78596.3,-1287286,76731.0,1139.0,1.0593279452385973
2024-09-05,7318.0,7344.0,7146.0,7160.0,98790,111443,7401.6,7586.8,7735.6,8205.033333333333,-222.48393161589775,-178.55430306854547,-43.92962854735228,21.71945701357467,156.28571428571428,-112.73884624532893,81925.95,-1386076,79128.45,2783.0,2.561200073624148
2024-09-06,7182.0,7282.0,7038.0,7168.0,171295,114988,7288.0,7535.4,7695.0,8181.933333333333,-237.49772807522095,-190.34298806988056,-47.154740005340386,25.649913344887338,157.57142857142858,-103.74846098710034,86774.6,-1214781,81844.55,3545.0,3.1809983579049295
2024-09-09,7160.0,7190.0,6886.0,7010.0,157213,116981,7213.2,7453.0,7642.4,8157.966666666666,-259.1581358074527,-204.10601761739503,-55.05211819005768,22.32415902140673,170.0,-107.98955459373424,92650.55,-1371994,84793.2,1993.0,1.7332243364525102
2024-09-10,6988.0,7012.0,6718.0,6734.0,167359,128178,7075.2,7341.0,7574.9,8129.166666666667,-295.1922656739316,-222.32326722870235,-72.86899844522927,15.994798439531863,183.28571428571428,-118.01381558206192,99400.3,-1539353,88574.65,11197.0,9.571639838948197
2024-09-11,6734.0,6888.0,6572.0,6880.0,254834,112334,6990.4,7254.0,7518.8,8101.233333333334,-308.4133957325803,-239.54129292947795,-68.87210280310234,25.128205128205124,193.71428571428572,-105.0163728065143,110174.85,-1284519,91775.35,-15844.0,-12.360935573967446
2024-09-12,6888.0,6964.0,6712.0,6940.0,189409,109857,6946.4,7174.0,7470.5,8073.933333333333,-310.47082360493914,-253.72719906457021,-56.74362454036893,26.72521957340024,203.85714285714286,-80.72754109916579,113558.75,-1095110,95470.25,-2477.0,-2.2050314241458535
2024-09-13,6922.0,7060.0,6894.0,6940.0,141571,106464,6900.8,7094.4,7422.0,8047.266666666666,-308.5446394752498,-264.6906871467061,-43.8539523285437,19.001386962552004,204.28571428571428,-61.764495324151305,118544.65,-1095110,99222.05,-3393.0,-3.0885605833037455
2024-09-18,7016.0,7020.0,6740.0,6762.0,113962,112710,6851.2,7032.2,7373.6,8016.966666666666,-317.7187728269155,-275.296304282748,-42.42246854416749,15.875,216.57142857142858,-69.70735283400641,119505.85,-1209072,100799.95,6246.0,5.8667718665464275
2024-09-19,6772.0,6944.0,6650.0,6922.0,235612,117758,6888.8,6982.0,7333.0,7988.2,-308.52222462292775,-281.94148835078397,-26.58073627214378,25.000000000000014,228.42857142857142,-62.75533894377571,125163.65,-973460,102466.55,5048.0,4.478750776328622
2024-09-20,6950.0,6966.0,6848.0,6918.0,142097,115752,6896.4,6943.4,7289.9,7960.133333333333,-298.12011734489806,-285.1772141496068,-12.942903195291251,25.090909090909093,231.14285714285714,-48.63906690720204,127916.3,-1115557,103914.55,-2006.0,-1.703493605529982
2024-09-23,6908.0,6916.0,6776.0,6824.0,157677,110461,6873.2,6909.8,7248.3,7930.633333333333,-294.0715134393786,-286.9560740075612,-7.115439431817379,23.793103448275858,235.57142857142858,-52.203997147230616,131239.85,-1273234,104763.1,-5291.0,-4.570979335130277
2024-09-24,6812.0,7032.0,6780.0,7012.0,167998,108736,6887.6,6894.2,7214.8,7903.266666666666,-272.55113700696893,-284.07508660744276,11.523949600473827,38.19796954314721,228.0,-35.30344900383109,135404.05,-1105236,105599.7,-1725.0,-1.5616371388997075
2024-09-25,7024.0,7210.0,7000.0,7010.0,171227,105744,6937.2,6894.2,7173.6,7876.0,-252.74399151710986,-277.8088675893762,25.064876072266316,36.540962288686615,235.14285714285714,-14.668870116430615,139923.55,-1276463,106889.15,-2992.0,-2.7516185991759867
2024-09-26,6978.0,7062.0,6866.0,6968.0,181877,99092,6946.4,6917.6,7129.3,7847.933333333333,-237.6957266288482,-269.7862393972706,32.0905127684224,38.49315068493151,233.28571428571428,-25.674838519287988,145799.85,-1458340,107902.4,-6652.0,-6.29066424572553
2024-09-27,6970.0,7160.0,6954.0,7118.0,145539,95110,6986.4,6941.4,7097.7,7820.433333333333,-211.23118033030914,-258.0752275838783,46.84404725356916,48.567530695770806,233.85714285714286,-4.086785973665777,149346.95,-1312801,108390.45,-3982.0,-4.018487869858312
2024-09-30,7100.0,7490.0,7060.0,7398.0,167387,85991,7101.2,6987.2,7080.6,7799.366666666667,-165.7534739103112,-239.6108768491649,73.85740293885371,56.61680092059839,247.14285714285714,44.57966207249804,154375.85,-1145414,108338.4,-9119.0,-9.587845652402482
2024-10-08,7800.0,7812.0,7540.0,7582.0,138103,85817,7215.2,7051.4,7072.9,7782.7,-113.55580108654794,-214.39986169664152,100.84406061009358,66.21315192743765,255.0,113.77231075264609,157824.75,-1007311,108305.1,-174.0,-0.20234675721877426
2024-10-09,7574.0,7590.0,7404.0,7430.0,135143,86716,7299.2,7118.2,7075.2,7763.9,-83.4914613974288,-188.218181636799,104.7267202393702,71.21951219512195,247.28571428571428,80.7870283967702,157310.1,-1142454,107015.65,899.0,1.0475779857137768
2024-10-10,7400.0,7450.0,7282.0,7382.0,129494,90524,7382.0,7164.2,7073.1,7744.833333333333,-62.814369488318334,-163.13741920710288,100.32304971878455,66.27756160830091,236.71428571428572,61.2075928607995,159431.8,-1271948,106165.8,3808.0,4.3913464643203115
2024-10-11,7422.0,7488.0,7354.0,7396.0,116494,96564,7437.6,7212.0,7077.7,7726.733333333334,-44.78172631749658,-139.46628062918163,94.68455431168505,65.24064171122994,228.28571428571428,66.60851879404186,159154.05,-1155454,105561.0,6040.0,6.672263709071635
